States,Regions,Dates,Usage,,,,
Andhra Pradesh,South,31-12-2019 0.00,186.6,,,,
Andhra Pradesh,South,01-01-2020 0.00,183,,,,
Andhra Pradesh,South,02-01-2020 0.00,184.5,,,,
Andhra Pradesh,South,03-01-2020 0.00,180.5,,,,
Andhra Pradesh,South,04-01-2020 0.00,175.6,,,,
Andhra Pradesh,South,05-01-2020 0.00,187.7,,,,
Andhra Pradesh,South,13-01-2020 0.00,189.2,,,,
Andhra Pradesh,South,14-01-2020 0.00,192.3,,,,
Andhra Pradesh,South,15-01-2020 0.00,197.4,,,,
Andhra Pradesh,South,16-01-2020 0.00,200,,,,
Andhra Pradesh,South,17-01-2020 0.00,198.5,,,,
Andhra Pradesh,South,18-01-2020 0.00,196.1,,,,
Andhra Pradesh,South,19-01-2020 0.00,182.5,,,,
Andhra Pradesh,South,20-01-2020 0.00,188.4,,,,
Andhra Pradesh,South,21-01-2020 0.00,185.9,,,,
Andhra Pradesh,South,22-01-2020 0.00,187.1,,,,
Andhra Pradesh,South,23-01-2020 0.00,189,,,,
Andhra Pradesh,South,24-01-2020 0.00,184.1,,,,
Andhra Pradesh,South,25-01-2020 0.00,171.8,,,,
Andhra Pradesh,South,26-01-2020 0.00,191.4,,,,
Andhra Pradesh,South,27-01-2020 0.00,194.1,,,,
Andhra Pradesh,South,28-01-2020 0.00,195.9,,,,
Andhra Pradesh,South,29-01-2020 0.00,175,,,,
Andhra Pradesh,South,30-01-2020 0.00,192,,,,
Andhra Pradesh,South,31-01-2020 0.00,191,,,,
Andhra Pradesh,South,01-02-2020 0.00,192.4,,,,
Andhra Pradesh,South,02-02-2020 0.00,158.5,,,,
Andhra Pradesh,South,03-02-2020 0.00,154.8,,,,
Andhra Pradesh,South,04-02-2020 0.00,158.4,,,,
Andhra Pradesh,South,05-02-2020 0.00,159.6,,,,
Andhra Pradesh,South,13-02-2020 0.00,159.1,,,,
Andhra Pradesh,South,14-02-2020 0.00,160.6,,,,
Andhra Pradesh,South,15-02-2020 0.00,162.2,,,,
Andhra Pradesh,South,16-02-2020 0.00,163.5,,,,
Andhra Pradesh,South,17-02-2020 0.00,163.3,,,,
Andhra Pradesh,South,18-02-2020 0.00,161.2,,,,
Andhra Pradesh,South,19-02-2020 0.00,164.6,,,,
Andhra Pradesh,South,20-02-2020 0.00,165,,,,
Andhra Pradesh,South,21-02-2020 0.00,162.8,,,,
Andhra Pradesh,South,22-02-2020 0.00,161.7,,,,
Andhra Pradesh,South,23-02-2020 0.00,196.6,,,,
Andhra Pradesh,South,24-02-2020 0.00,196.5,,,,
Andhra Pradesh,South,25-02-2020 0.00,195.6,,,,
Andhra Pradesh,South,26-02-2020 0.00,201.7,,,,
Andhra Pradesh,South,27-02-2020 0.00,205,,,,
Andhra Pradesh,South,28-02-2020 0.00,199.1,,,,
Andhra Pradesh,South,29-02-2020 0.00,194.3,,,,
Andhra Pradesh,South,01-03-2020 0.00,161.9,,,,
Andhra Pradesh,South,02-03-2020 0.00,161.3,,,,
Andhra Pradesh,South,03-03-2020 0.00,166.8,,,,
Andhra Pradesh,South,04-03-2020 0.00,168.6,,,,
Andhra Pradesh,South,05-03-2020 0.00,171.5,,,,
Andhra Pradesh,South,13-03-2020 0.00,171.3,,,,
Andhra Pradesh,South,14-03-2020 0.00,170.8,,,,
Andhra Pradesh,South,15-03-2020 0.00,169.3,,,,
Andhra Pradesh,South,16-03-2020 0.00,179.4,,,,
Andhra Pradesh,South,17-03-2020 0.00,175.1,,,,
Andhra Pradesh,South,18-03-2020 0.00,182.5,,,,
Andhra Pradesh,South,19-03-2020 0.00,188.4,,,,
Andhra Pradesh,South,20-03-2020 0.00,185.9,,,,
Andhra Pradesh,South,21-03-2020 0.00,187.1,,,,
Andhra Pradesh,South,22-03-2020 0.00,162,,,,
Andhra Pradesh,South,23-03-2020 0.00,164.1,,,,
Andhra Pradesh,South,24-03-2020 0.00,160.3,,,,
Andhra Pradesh,South,25-03-2020 0.00,155.6,,,,
Andhra Pradesh,South,26-03-2020 0.00,130.6,,,,
Andhra Pradesh,South,27-03-2020 0.00,139.7,,,,
Andhra Pradesh,South,28-03-2020 0.00,148.7,,,,
Andhra Pradesh,South,29-03-2020 0.00,164,,,,
Andhra Pradesh,South,30-03-2020 0.00,167.9,,,,
Andhra Pradesh,South,31-03-2020 0.00,173.5,,,,
Andhra Pradesh,South,01-04-2020 0.00,173.5,,,,
Andhra Pradesh,South,02-04-2020 0.00,171,,,,
Andhra Pradesh,South,03-04-2020 0.00,164.9,,,,
Andhra Pradesh,South,04-04-2020 0.00,165.1,,,,
Andhra Pradesh,South,05-04-2020 0.00,190,,,,
Andhra Pradesh,South,13-04-2020 0.00,192.6,,,,
Andhra Pradesh,South,14-04-2020 0.00,193,,,,
Andhra Pradesh,South,15-04-2020 0.00,201,,,,
Andhra Pradesh,South,16-04-2020 0.00,199.4,,,,
Andhra Pradesh,South,17-04-2020 0.00,197.4,,,,
Andhra Pradesh,South,18-04-2020 0.00,195,,,,
Andhra Pradesh,South,19-04-2020 0.00,164,,,,
Andhra Pradesh,South,20-04-2020 0.00,166.7,,,,
Andhra Pradesh,South,21-04-2020 0.00,165.9,,,,
Andhra Pradesh,South,22-04-2020 0.00,169.2,,,,
Andhra Pradesh,South,23-04-2020 0.00,172.9,,,,
Andhra Pradesh,South,24-04-2020 0.00,172.6,,,,
Andhra Pradesh,South,25-04-2020 0.00,167.2,,,,
Andhra Pradesh,South,26-04-2020 0.00,174.6,,,,
Andhra Pradesh,South,27-04-2020 0.00,183.4,,,,
Andhra Pradesh,South,28-04-2020 0.00,193.4,,,,
Andhra Pradesh,South,29-04-2020 0.00,184.1,,,,
Andhra Pradesh,South,30-04-2020 0.00,187.5,,,,
